date,value,yoy
1996-02-26,3642.4,5.174405174405172
1996-03-04,3683.3,5.454076958314236
1996-03-11,3694.1,5.563810939018121
1996-03-18,3699.2,5.9092991296381125
1996-03-25,3679.7,5.74458302201275
1996-04-01,3702.9,5.673354070945469
1996-04-08,3748.3,5.770641684067956
1996-04-15,3753.2,5.899946389774557
1996-04-22,3716.7,5.922083843939685
1996-04-29,3666.2,5.033662799025929
1996-05-06,3698.7,5.367062644218423
1996-05-13,3697.8,5.386456908344739
1996-05-20,3688.9,5.30687981729947
1996-05-27,3671.5,4.891009342056396
1996-06-03,3711.6,4.569786442779056
1996-06-10,3737.6,4.976968879901134
1996-06-17,3734.9,5.2766581165262005
1996-06-24,3696.4,4.960672402532884
1996-07-01,3715.4,4.556071478823687
1996-07-08,3754.2,4.643772995874684
1996-07-15,3742.4,4.708877759435937
1996-07-22,3726.0,4.786545924967656
1996-07-29,3712.4,4.277969719951691
1996-08-05,3751.8,4.30938612099645
1996-08-12,3751.8,4.419704981909267
1996-08-19,3744.2,4.426160925951739
1996-08-26,3723.5,4.352334510397404
1996-09-02,3734.3,3.8084118644538867
1996-09-09,3776.3,4.378230465186994
1996-09-16,3760.0,4.4212397245056545
1996-09-23,3720.2,4.218960107575076
1996-09-30,3719.3,3.844650435559527
1996-10-07,3765.4,4.0568175537500695
1996-10-14,3768.1,4.180375459647756
1996-10-21,3761.1,4.719345138656861
1996-10-28,3742.8,4.462865276731143
1996-11-04,3780.9,4.332349126631518
1996-11-11,3795.7,4.69452489311819
1996-11-18,3800.8,4.881481277077193
1996-11-25,3783.6,4.577114427860685
1996-12-02,3816.3,4.877981752226002
1996-12-09,3840.3,5.066892834669368
1996-12-16,3839.2,5.183561643835621
1996-12-23,3841.7,5.289555184038153
1996-12-30,3836.3,4.773999726887901
1997-01-06,3874.1,5.200130342692666
1997-01-13,3861.2,4.923913043478256
1997-01-20,3841.2,5.501387019692916
1997-01-27,3804.4,5.434692237341676
1997-02-03,3820.8,4.909390444810557
1997-02-10,3842.8,5.360129410797021
1997-02-17,3839.8,5.272104180945858
1997-02-24,3823.1,4.961014715572154
1997-03-03,3847.2,4.449814025466292
1997-03-10,3879.7,5.024227822744365
1997-03-17,3877.9,4.8307742214533045
1997-03-24,3858.1,4.8482213223904225
1997-03-31,3878.0,4.728726133570982
1997-04-07,3930.6,4.863538137288903
1997-04-14,3934.1,4.8198870297346375
1997-04-21,3920.0,5.4699060994968685
1997-04-28,3856.7,5.19611586929245
1997-05-05,3870.0,4.63135696325736
1997-05-12,3871.5,4.697387635891603
1997-05-19,3866.3,4.809021659573309
1997-05-26,3858.0,5.079667710744928
1997-06-02,3884.0,4.6448970794266575
1997-06-09,3918.6,4.842679794520555
1997-06-16,3912.5,4.755147393504511
1997-06-23,3878.9,4.937236229845254
1997-06-30,3886.0,4.591699413252948
1997-07-07,3946.3,5.116935698684144
1997-07-14,3928.6,4.975416844805469
1997-07-21,3910.1,4.940955448201834
1997-07-28,3893.1,4.867471177674809
1997-08-04,3940.2,5.021589636974233
1997-08-11,3954.9,5.413401567247722
1997-08-18,3958.2,5.715506650285773
1997-08-25,3939.5,5.800993688733724
1997-09-01,3957.2,5.968990172187549
1997-09-08,3988.1,5.608664565844856
1997-09-15,3979.6,5.8404255319148835
1997-09-22,3944.9,6.039997849577983
1997-09-29,3930.4,5.675799209528676
1997-10-06,3986.7,5.877197641684817
1997-10-13,3984.5,5.742947374008134
1997-10-20,3984.1,5.929116481880303
1997-10-27,3955.4,5.680239392967823
1997-11-03,3991.4,5.567457483667915
1997-11-10,4015.2,5.782859551597852
1997-11-17,4018.0,5.714586402862554
1997-11-24,4003.0,5.798710223067971
1997-12-01,4032.4,5.662552734323811
1997-12-08,4053.3,5.546441684243408
1997-12-15,4051.2,5.521983746613879
1997-12-22,4054.1,5.5288023531249175
1997-12-29,4055.4,5.711232176837044
1998-01-05,4100.0,5.831031723497082
1998-01-12,4082.5,5.731378845954627
1998-01-19,4064.6,5.815890867437257
1998-01-26,4028.7,5.895804857533382
1998-02-02,4041.3,5.771042713567831
1998-02-09,4078.1,6.123139377537212
1998-02-16,4081.5,6.294598677014429
1998-02-23,4077.1,6.643823075514632
1998-03-02,4101.2,6.602204200457473
1998-03-09,4141.9,6.758254504214234
1998-03-16,4142.2,6.815544495732229
1998-03-23,4119.2,6.767579896840403
1998-03-30,4118.8,6.209386281588447
1998-04-06,4194.6,6.716531827201955
1998-04-13,4208.4,6.972369792328603
1998-04-20,4197.5,7.07908163265305
1998-04-27,4127.3,7.016361137760274
1998-05-04,4139.5,6.963824289405696
1998-05-11,4146.6,7.105772956218526
1998-05-18,4143.6,7.172231849571942
1998-05-25,4125.3,6.928460342146203
1998-06-01,4156.3,7.010813594232745
1998-06-08,4193.3,7.010156688613289
1998-06-15,4192.9,7.166773162939277
1998-06-22,4159.0,7.221119389517638
1998-06-29,4145.3,6.67267112712302
1998-07-06,4224.6,7.052175455489951
1998-07-13,4202.6,6.974494730947423
1998-07-20,4188.4,7.117465026469905
1998-07-27,4165.8,7.004700624181259
1998-08-03,4201.4,6.629105121567425
1998-08-10,4232.6,7.021669321601065
1998-08-17,4226.4,6.775807185084126
1998-08-24,4206.3,6.772433049879423
1998-08-31,4213.2,6.469220661073494
1998-09-07,4274.9,7.191394398335049
1998-09-14,4278.6,7.513317921399154
1998-09-21,4252.3,7.792339476285837
1998-09-28,4214.7,7.233360472216566
1998-10-05,4279.4,7.341911856924277
1998-10-12,4290.3,7.674739616012061
1998-10-19,4300.1,7.931527823096829
1998-10-26,4280.5,8.219143449461486
1998-11-02,4307.0,7.9070000501077375
1998-11-09,4349.0,8.31340904562663
1998-11-16,4355.8,8.407167745146849
1998-11-23,4333.7,8.261304021983506
1998-11-30,4348.8,7.846443805178049
1998-12-07,4395.1,8.432635136802125
1998-12-14,4397.5,8.548084518167464
1998-12-21,4401.8,8.576502799634955
1998-12-28,4398.1,8.450461113576967
1999-01-04,4439.9,8.29024390243902
1999-01-11,4433.1,8.587875076546236
1999-01-18,4421.7,8.785612360379869
1999-01-25,4374.4,8.580931814232873
1999-02-01,4385.1,8.507163536485795
1999-02-08,4420.5,8.396066795811773
1999-02-15,4423.4,8.376822246723004
1999-02-22,4414.8,8.282848102818186
1999-03-01,4424.0,7.870867063298559
1999-03-08,4464.8,7.795939061783264
1999-03-15,4460.2,7.677079812659948
1999-03-22,4448.6,7.996698388036516
1999-03-29,4444.4,7.905215111197417
1999-04-05,4520.8,7.776665236256131
1999-04-12,4525.2,7.52780153977759
1999-04-19,4530.1,7.923764145324608
1999-04-26,4467.6,8.245099701984348
1999-05-03,4450.0,7.500905906510447
1999-05-10,4471.8,7.84256981623499
1999-05-17,4466.0,7.780673810213323
1999-05-24,4446.6,7.788524470947578
1999-05-31,4468.3,7.50667661140918
1999-06-07,4514.9,7.669377340042427
1999-06-14,4512.4,7.620024326838237
1999-06-21,4491.9,8.00432796345274
1999-06-28,4464.2,7.693049960195886
1999-07-05,4524.2,7.091795672963097
1999-07-12,4538.1,7.983153286061007
1999-07-19,4518.6,7.8836787317352774
1999-07-26,4499.4,8.008065677660948
1999-08-02,4520.7,7.599847669824356
1999-08-09,4556.7,7.657231961442124
1999-08-16,4554.5,7.763108082528869
1999-08-23,4528.6,7.66231604973493
1999-08-30,4518.1,7.236779644925484
1999-09-06,4573.9,6.994315656506589
1999-09-13,4577.2,6.9789183377740205
1999-09-20,4559.4,7.221973990546271
1999-09-27,4514.6,7.1155716895627386
1999-10-04,4568.0,6.743936065803635
1999-10-11,4580.8,6.771088268885617
1999-10-18,4585.6,6.639380479523727
1999-10-25,4556.2,6.440836350893586
1999-11-01,4578.0,6.2920826561411625
1999-11-08,4610.3,6.008277765003456
1999-11-15,4618.0,6.0195601267275745
1999-11-22,4605.1,6.262547015252573
1999-11-29,4607.6,5.951066961000739
1999-12-06,4650.3,5.8064662920070065
1999-12-13,4656.8,5.896532120523035
1999-12-20,4669.1,6.072515788995414
1999-12-27,4669.4,6.168572792796878
2000-01-03,4698.8,5.8312124146940425
2000-01-10,4700.6,6.034152173422669
2000-01-17,4689.6,6.058755682203687
2000-01-24,4653.4,6.378017556693494
2000-01-31,4636.2,5.726209208455901
2000-02-07,4686.1,6.008370093880799
2000-02-14,4676.7,5.726364335126832
2000-02-21,4670.0,5.780556310591645
2000-02-28,4667.9,5.513110307414104
2000-03-06,4724.1,5.807650958609578
2000-03-13,4733.0,6.1163176539168695
2000-03-20,4745.8,6.680753495481717
2000-03-27,4728.6,6.394563945639464
2000-04-03,4785.0,5.844098389665531
2000-04-10,4832.7,6.795279766640139
2000-04-17,4844.5,6.940244144720853
2000-04-24,4802.3,7.49171814844658
2000-05-01,4739.7,6.510112359550568
2000-05-08,4739.8,5.993112393219735
2000-05-15,4741.3,6.1643528884908205
2000-05-22,4725.4,6.269959069851105
2000-05-29,4721.6,5.668822594722833
2000-06-05,4779.1,5.8517353651243775
2000-06-12,4778.5,5.89708359188017
2000-06-19,4764.3,6.064248981500042
